GeneId,AstroDay7,LA_D7_NPC,log2FoldChange,lfcSE,stat,pvalue,padj
BCL9L,635.6000545,1554.024724,1.619379904,0.24676802,4.528729459,5.93E-06,0.000574556
HIST1H4J,838.2317242,10.44777534,-5.729575568,0.27337655,-4.508404029,6.53E-06,0.000627456
EPHA7,8580.522232,2776.137048,-1.564303095,0.236968021,-4.494610583,6.97E-06,0.000664303
HMMR,2442.065994,1128.010935,-1.53746798,0.244352571,-4.487889535,7.19E-06,0.000680289
PRODH,369.256755,1151.811249,1.874128388,0.2505544,4.483068206,7.36E-06,0.000690496
GPR107,1710.320258,4277.263576,1.457151199,0.231790858,4.474257444,7.67E-06,0.000714094
IGF2,67.20918925,534.1664183,3.128497663,0.24774001,4.469678469,7.83E-06,0.000724026
IER5L,1230.104669,81.39285883,-3.59546277,0.23421285,-4.453533236,8.45E-06,0.000774825
ZC3H13,1464.761069,2897.544194,1.390246371,0.23867433,4.451400191,8.53E-06,0.000776723
HIST4H4,682.8378944,17.92157096,-4.91168162,0.24866057,-4.433135838,9.29E-06,0.000839291
COL1A1,413.2113264,1051.687135,1.672751979,0.249945621,4.430892365,9.38E-06,0.000841835
BCAM,1252.06564,2214.487593,1.36158223,0.241349023,4.416683253,1.00E-05,0.000892532
KDM6B,518.6564398,2095.724173,2.194543514,0.248066374,4.398811002,1.09E-05,0.000962258
