p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,gene_converted
1.74666571567615e-42,1.40215596179047,0.783,0.121,9.93223992562084e-38,Astrocyte,GATM,GATM
9.68832470738139e-42,1.27552264819229,0.804,0.148,5.50916896160535e-37,Astrocyte,CST3,CST3
1.93514137874848e-41,1.83593401845398,0.609,0.077,1.10039879361154e-36,Astrocyte,SLCO1C1,SLCO1C1
7.27863383415721e-38,1.93920631471891,0.848,0.185,4.13892234345515e-33,Astrocyte,F3,F3
2.95634287352606e-37,1.77868378520189,0.804,0.157,1.68109481160186e-32,Astrocyte,TNC,TNC
1.48565696219363e-36,1.9950951902584,0.478,0.054,8.44803974981786e-32,Astrocyte,ALDOC,ALDOC
7.93193217748989e-36,1.09214108720701,0.457,0.049,4.51041391340785e-31,Astrocyte,PMP2,PMP2
2.71589261422268e-35,2.08841794768279,0.804,0.173,1.54436517615158e-30,Astrocyte,ATP1A2,ATP1A2
1.08790574702733e-31,1.48263672304387,0.565,0.084,6.18626723989624e-27,Astrocyte,SLC4A4,SLC4A4
2.0160118869912e-30,1.10725216712417,0.435,0.051,1.14638499941868e-25,Astrocyte,SLC15A2,SLC15A2
5.56812051491772e-30,1.39237543385889,0.348,0.033,3.16625604960282e-25,Astrocyte,HAPLN1,HAPLN1
